LocationTime,LOCATION,TIME,Healthy_Spend_Val
ALB-2000,ALB,2000,61.383
ALB-2001,ALB,2001,60.728
ALB-2002,ALB,2002,62.054
ALB-2003,ALB,2003,58.017
ALB-2004,ALB,2004,55.752
ALB-2005,ALB,2005,55.734
ALB-2006,ALB,2006,54.589
ALB-2007,ALB,2007,58.621
ALB-2008,ALB,2008,54.319
ALB-2009,ALB,2009,49.059
ALB-2010,ALB,2010,25.4295
ALB-2011,ALB,2011,26.3145
ALB-2012,ALB,2012,26.82
ALB-2013,ALB,2013,27.203
ALB-2014,ALB,2014,27.6645
ALB-2015,ALB,2015,22.932499999999997
ALB-2016,ALB,2016,22.130499999999998
ALB-2017,ALB,2017,23.5775
ALB-2018,ALB,2018,23.652
ARG-2000,ARG,2000,24.4925
ARG-2001,ARG,2001,24.453
ARG-2002,ARG,2002,24.4
ARG-2003,ARG,2003,24.194000000000003
ARG-2004,ARG,2004,25.830499999999997
ARG-2005,ARG,2005,26.127
ARG-2006,ARG,2006,25.508000000000003
ARG-2007,ARG,2007,24.623
ARG-2008,ARG,2008,24.287
ARG-2009,ARG,2009,21.9005
ARG-2010,ARG,2010,22.443
ARG-2011,ARG,2011,21.6695
ARG-2012,ARG,2012,20.5815
ARG-2013,ARG,2013,19.739
ARG-2014,ARG,2014,18.767500000000002
ARG-2015,ARG,2015,18.1895
ARG-2016,ARG,2016,20.484
ARG-2017,ARG,2017,20.084500000000002
ARG-2018,ARG,2018,20.999
ARG-2019,ARG,2019,20.4755
AUS-1990,AUS,1990,143.44199999999998
AUS-1991,AUS,1991,151.88899999999998
AUS-1992,AUS,1992,160.79633333333334
AUS-1993,AUS,1993,169.40066666666667
AUS-1994,AUS,1994,179.40966666666668
AUS-1995,AUS,1995,184.3613333333333
AUS-1996,AUS,1996,199.39866666666668
AUS-1997,AUS,1997,199.87733333333335
AUS-1998,AUS,1998,209.061
AUS-1999,AUS,1999,208.5
AUS-2000,AUS,2000,238.306
AUS-2001,AUS,2001,257.77566666666667
AUS-2002,AUS,2002,270.7526666666667
AUS-2003,AUS,2003,286.12166666666667
AUS-2004,AUS,2004,308.76733333333334
AUS-2005,AUS,2005,313.91533333333336
AUS-2006,AUS,2006,327.9533333333333
AUS-2007,AUS,2007,338.4243333333333
AUS-2008,AUS,2008,357.3866666666666
AUS-2009,AUS,2009,360.91433333333333
AUS-2010,AUS,2010,387.0083333333334
AUS-2011,AUS,2011,402.03566666666666
AUS-2012,AUS,2012,428.83733333333333
AUS-2013,AUS,2013,490.02299999999997
AUS-2014,AUS,2014,504.5516666666667
AUS-2015,AUS,2015,511.6526666666667
AUS-2016,AUS,2016,535.412
AUS-2017,AUS,2017,535.1313333333334
AUS-2018,AUS,2018,537.9026666666667
AUS-2019,AUS,2019,489.876
AUS-2020,AUS,2020,545.084
AUT-1990,AUT,1990,135.79533333333333
AUT-1991,AUT,1991,144.3923333333333
AUT-1992,AUT,1992,151.95033333333333
AUT-1993,AUT,1993,161.96033333333332
AUT-1994,AUT,1994,170.434
AUT-1995,AUT,1995,181.0376666666667
AUT-1996,AUT,1996,189.26633333333336
AUT-1997,AUT,1997,194.03300000000002
AUT-1998,AUT,1998,207.78433333333336
AUT-1999,AUT,1999,217.44633333333334
AUT-2000,AUT,2000,237.54533333333336
AUT-2001,AUT,2001,247.2733333333333
AUT-2002,AUT,2002,269.70433333333335
AUT-2003,AUT,2003,281.166
AUT-2004,AUT,2004,312.4053333333333
AUT-2005,AUT,2005,311.0366666666667
AUT-2006,AUT,2006,319.52466666666663
AUT-2007,AUT,2007,333.70166666666665
AUT-2008,AUT,2008,343.81666666666666
AUT-2009,AUT,2009,348.6413333333333
AUT-2010,AUT,2010,369.24
AUT-2011,AUT,2011,376.99133333333333
AUT-2012,AUT,2012,396.58199999999994
AUT-2013,AUT,2013,422.60499999999996
AUT-2014,AUT,2014,430.44533333333334
AUT-2015,AUT,2015,437.0226666666667
AUT-2016,AUT,2016,460.52933333333334
AUT-2017,AUT,2017,469.8953333333334
AUT-2018,AUT,2018,475.288
AUT-2019,AUT,2019,476.29600000000005
AUT-2020,AUT,2020,470.4936666666667
BEL-1990,BEL,1990,
BEL-1991,BEL,1991,
BEL-1992,BEL,1992,
BEL-1993,BEL,1993,
BEL-1994,BEL,1994,
BEL-1995,BEL,1995,137.533
BEL-1996,BEL,1996,136.458
BEL-1997,BEL,1997,157.79
BEL-1998,BEL,1998,167.08633333333333
BEL-1999,BEL,1999,179.62166666666667
BEL-2000,BEL,2000,203.68333333333337
BEL-2001,BEL,2001,205.9523333333333
BEL-2002,BEL,2002,240.41166666666666
BEL-2003,BEL,2003,259.2776666666667
BEL-2004,BEL,2004,265.7846666666666
BEL-2005,BEL,2005,269.3546666666667
BEL-2006,BEL,2006,279.39500000000004
BEL-2007,BEL,2007,293.4696666666667
BEL-2008,BEL,2008,294.87
BEL-2009,BEL,2009,301.39666666666665
BEL-2010,BEL,2010,317.7036666666667
BEL-2011,BEL,2011,330.231
BEL-2012,BEL,2012,338.016
BEL-2013,BEL,2013,360.0173333333333
BEL-2014,BEL,2014,369.0756666666666
BEL-2015,BEL,2015,381.73600000000005
BEL-2016,BEL,2016,388.93666666666667
BEL-2017,BEL,2017,397.05699999999996
BEL-2018,BEL,2018,410.90933333333334
BEL-2019,BEL,2019,436.6086666666667
BEL-2020,BEL,2020,382.57733333333334
BGR-2003,BGR,2003,95.295
BGR-2004,BGR,2004,102.30799999999999
BGR-2005,BGR,2005,109.343
BGR-2006,BGR,2006,121.92333333333333
BGR-2007,BGR,2007,129.69033333333334
BGR-2008,BGR,2008,142.91166666666666
BGR-2009,BGR,2009,152.76366666666667
BGR-2010,BGR,2010,169.37933333333334
BGR-2011,BGR,2011,189.44233333333332
BGR-2012,BGR,2012,222.73299999999998
BGR-2013,BGR,2013,193.94366666666667
BGR-2014,BGR,2014,209.7976666666667
BGR-2015,BGR,2015,225.814
BGR-2016,BGR,2016,253.84466666666665
BGR-2017,BGR,2017,261.9396666666667
BGR-2018,BGR,2018,255.64766666666665
BGR-2019,BGR,2019,249.95166666666663
BGR-2020,BGR,2020,274.36266666666666
BRA-2000,BRA,2000,31.613999999999997
BRA-2001,BRA,2001,31.974
BRA-2002,BRA,2002,31.312
BRA-2003,BRA,2003,30.911
BRA-2004,BRA,2004,30.994
BRA-2005,BRA,2005,31.529
BRA-2006,BRA,2006,30.889
BRA-2007,BRA,2007,31.114
BRA-2008,BRA,2008,30.380499999999998
BRA-2009,BRA,2009,30.259999999999998
BRA-2010,BRA,2010,29.6725
BRA-2011,BRA,2011,237.95166666666668
BRA-2012,BRA,2012,251.0726666666667
BRA-2013,BRA,2013,259.9436666666667
BRA-2014,BRA,2014,276.316
BRA-2015,BRA,2015,263.64
BRA-2016,BRA,2016,265.84566666666666
BRA-2017,BRA,2017,275.98900000000003
BRA-2018,BRA,2018,287.777
BRA-2019,BRA,2019,300.152
CAN-1990,CAN,1990,155.08633333333333
CAN-1991,CAN,1991,163.95533333333333
CAN-1992,CAN,1992,175.03233333333333
CAN-1993,CAN,1993,187.6526666666667
CAN-1994,CAN,1994,196.851
CAN-1995,CAN,1995,202.72466666666665
CAN-1996,CAN,1996,206.92433333333335
CAN-1997,CAN,1997,221.78
CAN-1998,CAN,1998,228.95466666666667
CAN-1999,CAN,1999,240.5823333333333
CAN-2000,CAN,2000,256.11633333333333
CAN-2001,CAN,2001,275.95733333333334
CAN-2002,CAN,2002,293.69666666666666
CAN-2003,CAN,2003,302.836
CAN-2004,CAN,2004,324.44866666666667
CAN-2005,CAN,2005,341.6666666666667
CAN-2006,CAN,2006,366.36733333333336
CAN-2007,CAN,2007,387.118
CAN-2008,CAN,2008,399.16533333333336
CAN-2009,CAN,2009,403.16866666666664
CAN-2010,CAN,2010,427.74333333333334
CAN-2011,CAN,2011,430.51933333333335
CAN-2012,CAN,2012,437.73766666666666
CAN-2013,CAN,2013,442.6603333333334
CAN-2014,CAN,2014,455.542
CAN-2015,CAN,2015,464.21266666666673
CAN-2016,CAN,2016,521.0026666666666
CAN-2017,CAN,2017,530.8183333333334
CAN-2018,CAN,2018,544.4443333333334
CAN-2019,CAN,2019,533.9526666666667
CAN-2020,CAN,2020,495.734
CHE-1990,CHE,1990,
CHE-1991,CHE,1991,
CHE-1992,CHE,1992,
CHE-1993,CHE,1993,
CHE-1994,CHE,1994,
CHE-1995,CHE,1995,404.532
CHE-1996,CHE,1996,417.42699999999996
CHE-1997,CHE,1997,426.82166666666666
CHE-1998,CHE,1998,440.68433333333337
CHE-1999,CHE,1999,450.818
CHE-2000,CHE,2000,479.63733333333334
CHE-2001,CHE,2001,496.182
CHE-2002,CHE,2002,520.2646666666666
CHE-2003,CHE,2003,514.8706666666667
CHE-2004,CHE,2004,540.332
CHE-2005,CHE,2005,519.1626666666666
CHE-2006,CHE,2006,543.6383333333333
CHE-2007,CHE,2007,589.4083333333333
CHE-2008,CHE,2008,609.042
CHE-2009,CHE,2009,618.9933333333333
CHE-2010,CHE,2010,618.9286666666666
CHE-2011,CHE,2011,629.9166666666666
CHE-2012,CHE,2012,640.0383333333333
CHE-2013,CHE,2013,664.5303333333333
CHE-2014,CHE,2014,708.6750000000001
CHE-2015,CHE,2015,740.3133333333334
CHE-2016,CHE,2016,796.509
CHE-2017,CHE,2017,793.8583333333332
CHE-2018,CHE,2018,804.8463333333333
CHE-2019,CHE,2019,781.451
CHE-2020,CHE,2020,736.4496666666668
CHL-2000,CHL,2000,108.42766666666667
CHL-2001,CHL,2001,114.59333333333335
CHL-2002,CHL,2002,119.37166666666667
CHL-2003,CHL,2003,129.64766666666665
CHL-2004,CHL,2004,136.809
CHL-2005,CHL,2005,143.923
CHL-2006,CHL,2006,163.048
CHL-2007,CHL,2007,175.11066666666667
CHL-2008,CHL,2008,179.645
CHL-2009,CHL,2009,193.71666666666667
CHL-2010,CHL,2010,185.8836666666667
CHL-2011,CHL,2011,197.60433333333333
CHL-2012,CHL,2012,212.32666666666668
CHL-2013,CHL,2013,239.20466666666667
CHL-2014,CHL,2014,254.9053333333333
CHL-2015,CHL,2015,267.02933333333334
CHL-2016,CHL,2016,283.6066666666666
CHL-2017,CHL,2017,296.06766666666664
CHL-2018,CHL,2018,316.184
CHL-2019,CHL,2019,316.016
CHL-2020,CHL,2020,293.044
CHN-2000,CHN,2000,40.699000000000005
CHN-2001,CHN,2001,40.058
CHN-2002,CHN,2002,38.861
CHN-2003,CHN,2003,37.3255
CHN-2004,CHN,2004,36.306999999999995
CHN-2005,CHN,2005,34.918
CHN-2006,CHN,2006,33.5985
CHN-2007,CHN,2007,31.515
CHN-2008,CHN,2008,28.736
CHN-2009,CHN,2009,26.343500000000002
CHN-2010,CHN,2010,24.992
CHN-2011,CHN,2011,83.63166666666666
CHN-2012,CHN,2012,90.389
CHN-2013,CHN,2013,95.28266666666666
CHN-2014,CHN,2014,97.00333333333333
CHN-2015,CHN,2015,98.21333333333332
CHN-2016,CHN,2016,107.96466666666667
CHN-2017,CHN,2017,120.65233333333333
CHN-2018,CHN,2018,132.443
CHN-2019,CHN,2019,146.258
COL-2000,COL,2000,12.406500000000001
COL-2001,COL,2001,12.17
COL-2002,COL,2002,11.417
COL-2003,COL,2003,10.6895
COL-2004,COL,2004,12.699
COL-2005,COL,2005,13.705
COL-2006,COL,2006,13.6235
COL-2007,COL,2007,14.291
COL-2008,COL,2008,15.079500000000001
COL-2009,COL,2009,13.747
COL-2010,COL,2010,13.484
COL-2011,COL,2011,72.01766666666667
COL-2012,COL,2012,82.297
COL-2013,COL,2013,84.01733333333333
COL-2014,COL,2014,86.88933333333334
COL-2015,COL,2015,90.24833333333333
COL-2016,COL,2016,96.35366666666668
COL-2017,COL,2017,97.23966666666666
COL-2018,COL,2018,98.48566666666666
COL-2019,COL,2019,105.44866666666667
COL-2020,COL,2020,102.976
CRI-2000,CRI,2000,18.096999999999998
CRI-2001,CRI,2001,17.9035
CRI-2002,CRI,2002,17.266
CRI-2003,CRI,2003,17.4965
CRI-2004,CRI,2004,17.683999999999997
CRI-2005,CRI,2005,18.749000000000002
CRI-2006,CRI,2006,17.6915
CRI-2007,CRI,2007,17.671499999999998
CRI-2008,CRI,2008,16.8915
CRI-2009,CRI,2009,15.2445
CRI-2010,CRI,2010,14.522
CRI-2011,CRI,2011,115.73066666666665
CRI-2012,CRI,2012,114.47366666666666
CRI-2013,CRI,2013,112.62633333333333
CRI-2014,CRI,2014,127.98100000000001
CRI-2015,CRI,2015,124.93599999999999
CRI-2016,CRI,2016,126.20100000000001
CRI-2017,CRI,2017,129.54500000000002
CRI-2018,CRI,2018,142.83533333333332
CRI-2019,CRI,2019,144.508
CRI-2020,CRI,2020,139.225
CYP-2005,CYP,2005,309.9123333333333
CYP-2006,CYP,2006,319.73199999999997
CYP-2007,CYP,2007,344.07466666666664
CYP-2008,CYP,2008,415.38899999999995
CYP-2009,CYP,2009,413.97066666666666
CYP-2010,CYP,2010,389.3326666666667
CYP-2011,CYP,2011,367.75
CYP-2012,CYP,2012,372.55299999999994
CYP-2013,CYP,2013,378.52600000000007
CYP-2014,CYP,2014,402.38300000000004
CYP-2015,CYP,2015,417.43533333333335
CYP-2016,CYP,2016,463.69733333333335
CYP-2017,CYP,2017,491.7223333333334
CYP-2018,CYP,2018,526.0266666666666
CYP-2019,CYP,2019,418.9086666666667
CYP-2020,CYP,2020,224.19766666666666
CZE-1990,CZE,1990,5.8260000000000005
CZE-1991,CZE,1991,6.821666666666666
CZE-1992,CZE,1992,9.926
CZE-1993,CZE,1993,15.147
CZE-1994,CZE,1994,19.413333333333334
CZE-1995,CZE,1995,31.311666666666664
CZE-1996,CZE,1996,33.157666666666664
CZE-1997,CZE,1997,34.536
CZE-1998,CZE,1998,34.79933333333333
CZE-1999,CZE,1999,35.224333333333334
CZE-2000,CZE,2000,38.46933333333333
CZE-2001,CZE,2001,44.91833333333333
CZE-2002,CZE,2002,45.803333333333335
CZE-2003,CZE,2003,53.082666666666675
CZE-2004,CZE,2004,58.72733333333334
CZE-2005,CZE,2005,71.494
CZE-2006,CZE,2006,76.00666666666666
CZE-2007,CZE,2007,90.14966666666668
CZE-2008,CZE,2008,115.08800000000001
CZE-2009,CZE,2009,120.234
CZE-2010,CZE,2010,117.15966666666667
CZE-2011,CZE,2011,115.442
CZE-2012,CZE,2012,119.07933333333334
CZE-2013,CZE,2013,139.64833333333334
CZE-2014,CZE,2014,154.21533333333332
CZE-2015,CZE,2015,155.84466666666668
CZE-2016,CZE,2016,166.892
CZE-2017,CZE,2017,160.127
CZE-2018,CZE,2018,163.10833333333332
CZE-2019,CZE,2019,169.13933333333333
CZE-2020,CZE,2020,160.77700000000002
DEU-1990,DEU,1990,150.00133333333335
DEU-1992,DEU,1992,144.761
DEU-1993,DEU,1993,150.477
DEU-1994,DEU,1994,158.48833333333334
DEU-1995,DEU,1995,162.28133333333332
DEU-1996,DEU,1996,165.505
DEU-1997,DEU,1997,177.803
DEU-1998,DEU,1998,187.81866666666667
DEU-1999,DEU,1999,199.57900000000004
DEU-2000,DEU,2000,219.44033333333334
DEU-2001,DEU,2001,228.20833333333334
DEU-2002,DEU,2002,249.96433333333331
DEU-2003,DEU,2003,262.39
DEU-2004,DEU,2004,285.358
DEU-2005,DEU,2005,291.0163333333333
DEU-2006,DEU,2006,307.265
DEU-2007,DEU,2007,322.75333333333333
DEU-2008,DEU,2008,338.097
DEU-2009,DEU,2009,237.18866666666668
DEU-2010,DEU,2010,253.311
DEU-2011,DEU,2011,263.34133333333335
DEU-2012,DEU,2012,275.60600000000005
DEU-2013,DEU,2013,272.804
DEU-2014,DEU,2014,277.0653333333333
DEU-2015,DEU,2015,285.18666666666667
DEU-2016,DEU,2016,301.78066666666666
DEU-2017,DEU,2017,316.87333333333333
DEU-2018,DEU,2018,338.3063333333333
DEU-2019,DEU,2019,347.38633333333337
DEU-2020,DEU,2020,350.44699999999995
DNK-1990,DNK,1990,90.98866666666667
DNK-1991,DNK,1991,89.05933333333333
DNK-1992,DNK,1992,94.98733333333332
DNK-1993,DNK,1993,103.70966666666668
DNK-1994,DNK,1994,110.60866666666665
DNK-1995,DNK,1995,109.21433333333334
DNK-1996,DNK,1996,115.988
DNK-1997,DNK,1997,122.01766666666667
DNK-1998,DNK,1998,127.96233333333333
DNK-1999,DNK,1999,128.494
DNK-2000,DNK,2000,138.17166666666665
DNK-2001,DNK,2001,142.75333333333333
DNK-2002,DNK,2002,152.24533333333332
DNK-2003,DNK,2003,151.89166666666668
DNK-2004,DNK,2004,166.13533333333334
DNK-2005,DNK,2005,169.28266666666664
DNK-2006,DNK,2006,182.71733333333336
DNK-2007,DNK,2007,199.43266666666668
DNK-2008,DNK,2008,207.061
DNK-2009,DNK,2009,213.78666666666666
DNK-2010,DNK,2010,229.86666666666667
DNK-2011,DNK,2011,234.778
DNK-2012,DNK,2012,236.78933333333336
DNK-2013,DNK,2013,240.12033333333332
DNK-2014,DNK,2014,244.11966666666663
DNK-2015,DNK,2015,253.86066666666667
DNK-2016,DNK,2016,264.2293333333334
DNK-2017,DNK,2017,279.31666666666666
DNK-2018,DNK,2018,293.41366666666664
DNK-2019,DNK,2019,297.02566666666667
DNK-2020,DNK,2020,292.96733333333333
ESP-1990,ESP,1990,66.908
ESP-1991,ESP,1991,76.71466666666666
ESP-1992,ESP,1992,82.94133333333333
ESP-1993,ESP,1993,89.85866666666665
ESP-1994,ESP,1994,94.57633333333332
ESP-1995,ESP,1995,114.972
ESP-1996,ESP,1996,119.31466666666667
ESP-1997,ESP,1997,124.01299999999999
ESP-1998,ESP,1998,131.93033333333332
ESP-1999,ESP,1999,139.08533333333335
ESP-2000,ESP,2000,155.70533333333333
ESP-2001,ESP,2001,168.25766666666667
ESP-2002,ESP,2002,184.40499999999997
ESP-2003,ESP,2003,204.45033333333333
ESP-2004,ESP,2004,213.03666666666666
ESP-2005,ESP,2005,219.99033333333333
ESP-2006,ESP,2006,232.69433333333333
ESP-2007,ESP,2007,239.36033333333333
ESP-2008,ESP,2008,247.59633333333332
ESP-2009,ESP,2009,237.0283333333333
ESP-2010,ESP,2010,242.4863333333333
ESP-2011,ESP,2011,251.29366666666667
ESP-2012,ESP,2012,263.79200000000003
ESP-2013,ESP,2013,277.67966666666666
ESP-2014,ESP,2014,294.066
ESP-2015,ESP,2015,299.14466666666664
ESP-2016,ESP,2016,308.89833333333337
ESP-2017,ESP,2017,336.8823333333333
ESP-2018,ESP,2018,350.9883333333333
ESP-2019,ESP,2019,355.7730000000001
ESP-2020,ESP,2020,341.24533333333335
EST-1999,EST,1999,39.830999999999996
EST-2000,EST,2000,49.72366666666667
EST-2001,EST,2001,46.88433333333333
