LocationTime,Suicide_Val_TOT,Alcohol_Val,Edu_Sec_Val,Edu_Try_Val,Emp_Val,Healthy_Spend_Val,Obesity_Val,Smoking_Val,Soc_Spend_Val,Work_Hour_Val
ARG-1990,9.3,9.5,52.0,31.3,84.0,25.8,34.3,20.4,3.7,1854.0
ARG-1991,8.2,8.4,53.6,30.8,84.0,26.1,61.8,13.4,3.7,1845.6
ARG-1992,9.0,8.2,61.8,33.0,86.7,25.5,59.4,12.1,2.0,1855.7
ARG-1993,9.3,7.5,59.4,33.7,87.2,24.6,45.8,11.3,1.9,1874.2
ARG-1994,8.7,10.0,45.8,36.1,87.5,24.3,52.3,10.8,1.9,1870.3
ARG-1995,8.4,7.6,52.3,36.9,87.1,21.9,51.2,10.4,1.8,1861.5
ARG-1996,8.4,8.1,51.2,37.6,86.8,22.4,49.8,10.2,1.7,1860.8
ARG-1997,8.1,6.7,49.8,38.3,86.8,21.7,54.2,10.1,1.9,1849.9
ARG-1998,8.4,6.3,54.2,41.3,83.1,25.0,51.3,9.3,2.0,1856.1
ARG-1999,8.4,8.3,51.3,39.5,83.5,28.0,52.8,9.8,2.5,1852.2
ARG-2000,9.4,7.5,52.8,41.9,83.2,24.5,51.6,28.2,2.5,1828.7
ARG-2001,10.3,6.8,51.6,38.5,83.3,24.5,49.9,25.9,2.4,1818.0
ARG-2002,10.1,7.5,49.9,30.1,84.4,24.4,50.1,20.4,2.4,1806.5
ARG-2003,10.3,8.5,50.1,27.6,84.8,24.2,51.2,18.2,2.1,1811.4
ARG-2004,9.4,9.2,51.2,16.7,83.1,25.8,50.2,17.5,2.1,1802.4
ARG-2005,9.1,8.2,50.2,17.5,85.8,26.1,48.5,16.2,2.2,1803.1
ARG-2006,8.9,7.6,48.5,17.8,87.2,25.5,47.0,16.3,1.9,1799.1
ARG-2007,8.3,7.8,47.0,18.0,84.0,24.6,45.8,15.7,2.0,1766.7
ARG-2008,8.5,8.4,45.8,19.0,86.5,24.3,44.8,16.1,2.4,1777.6
ARG-2009,7.9,8.9,44.8,19.5,86.7,21.9,43.4,14.9,2.1,1773.9
ARG-2010,7.9,8.2,43.4,20.1,87.2,22.4,42.8,14.0,2.1,1770.8
ARG-2011,7.6,7.7,42.8,20.2,87.5,21.7,41.4,13.1,2.2,1766.0
ARG-2012,8.4,8.0,41.4,20.6,87.1,20.6,40.6,12.5,1.9,1755.1
ARG-2013,7.6,8.3,40.6,21.1,86.8,19.7,41.2,12.0,2.0,1751.3
ARG-2014,8.1,7.9,41.2,20.5,86.8,18.8,34.3,11.3,2.1,1761.3
ARG-2015,7.9,8.5,44.8,28.9,84.0,18.2,52.3,10.3,2.1,1761.3
ARG-2016,7.6,8.4,43.4,28.9,84.0,20.5,51.2,20.4,2.2,1803.1
ARG-2017,7.8,8.3,42.8,21.4,85.5,20.1,49.8,19.6,1.9,1799.1
ARG-2018,8.0,8.0,37.0,21.9,86.2,21.0,54.2,18.6,2.0,1766.7
ARG-2019,7.8,8.0,35.8,22.8,86.6,20.5,51.3,17.9,2.4,1761.3
AUS-1990,13.6,10.6,38.0,28.9,84.0,143.4,52.8,17.8,2.1,1853.0
AUS-1991,13.9,10.1,44.1,31.2,75.2,151.9,51.6,17.2,2.1,1854.0
AUS-1992,13.5,9.9,46.2,28.9,84.0,160.8,49.9,16.9,1.2,1845.6
AUS-1993,12.1,10.2,47.2,22.5,82.0,169.4,50.1,16.5,1.4,1855.7
AUS-1994,13.3,10.0,49.8,23.1,82.4,179.4,51.2,15.8,1.4,1874.2
AUS-1995,12.3,9.8,44.9,24.3,83.3,184.4,50.2,15.5,3.3,1870.3
AUS-1996,13.6,10.0,49.0,28.9,84.0,199.4,48.5,15.1,3.5,1861.5
AUS-1997,14.6,10.2,46.7,24.3,83.4,199.9,47.0,12.0,3.9,1860.8
AUS-1998,14.2,10.0,44.0,25.4,83.8,209.1,45.8,11.3,3.5,1849.9
AUS-1999,13.4,10.0,42.6,26.7,82.0,208.5,44.8,10.3,4.0,1856.1
AUS-2000,12.7,10.2,41.2,27.5,82.9,238.3,39.2,20.4,3.7,1852.2
AUS-2001,12.9,10.0,41.1,29.0,83.1,257.8,33.9,19.6,4.0,1828.7
AUS-2002,12.0,10.4,39.1,30.8,83.5,270.8,41.5,18.6,4.0,1818.0
AUS-2003,11.0,10.3,37.5,31.3,83.2,286.1,40.5,17.9,3.5,1806.5
AUS-2004,10.7,10.5,35.9,30.8,83.3,308.8,39.2,17.8,2.7,1811.4
AUS-2006,10.6,10.8,33.3,33.0,84.4,328.0,38.0,17.2,2.9,1802.4
AUS-2007,10.7,10.8,31.8,33.7,84.8,338.4,35.7,16.9,5.2,1803.1
AUS-2008,11.1,10.8,30.1,36.1,83.1,357.4,33.9,16.5,4.4,1799.1
AUS-2009,10.8,10.7,29.0,36.9,84.3,360.9,33.1,15.8,4.3,1766.7
AUS-2010,11.0,10.4,26.8,37.6,84.0,387.0,32.0,15.5,4.3,1777.6
AUS-2011,10.9,10.2,25.9,38.3,84.3,402.0,30.4,15.1,4.6,1773.9
AUS-2012,11.5,10.0,23.6,41.3,84.4,428.8,29.4,14.9,4.8,1770.8
AUS-2013,11.5,9.9,24.3,39.5,83.5,490.0,29.5,14.6,5.4,1766.0
AUS-2014,12.6,9.7,22.9,41.9,82.9,504.6,28.7,13.9,6.0,1755.1
AUS-2015,13.2,9.8,21.0,42.9,83.1,511.7,28.4,14.1,6.2,1751.3
AUS-2016,12.2,9.5,20.1,43.7,83.5,535.4,27.2,12.4,6.4,1738.7
AUS-2017,13.6,9.5,19.0,45.4,84.0,535.1,26.4,11.5,6.6,1738.5
AUS-2018,13.0,10.2,18.1,45.7,84.1,537.9,25.3,11.2,3.7,1732.5
AUS-2019,13.3,10.5,17.1,47.1,84.6,489.9,34.3,11.2,3.7,1722.3
AUS-2020,12.4,9.8,16.2,49.3,81.5,545.1,34.3,12.3,3.7,1683.1
AUT-1990,24.7,14.0,18.9,28.0,84.0,135.8,34.3,14.3,2.2,1761.3
AUT-1991,23.6,14.0,19.6,29.9,84.3,144.4,42.0,16.8,2.2,1761.3
AUT-1992,23.4,13.6,15.4,25.4,84.0,152.0,34.3,20.4,2.2,1761.3
AUT-1993,22.4,13.5,13.8,24.8,84.3,162.0,61.8,13.4,2.2,1761.3
AUT-1994,23.2,12.5,16.3,29.9,84.4,170.4,59.4,12.1,2.1,1761.3
AUT-1995,23.1,13.4,15.2,24.8,83.5,181.0,45.8,11.3,2.1,1653.0
AUT-1996,23.1,13.5,19.8,28.0,82.9,189.3,52.3,10.8,2.0,1683.0
AUT-1997,20.4,12.9,24.5,25.4,83.1,194.0,51.2,10.4,2.0,1691.0
AUT-1998,20.1,12.9,28.8,24.8,83.5,207.8,49.8,10.2,1.9,1671.0
AUT-1999,19.9,12.8,31.2,28.9,84.0,217.4,54.2,10.1,2.0,1675.0
AUT-2000,20.1,13.2,33.0,25.4,84.1,237.5,51.3,9.3,2.1,1675.0
AUT-2001,18.6,12.3,29.0,28.0,84.6,247.3,52.8,9.8,2.0,1663.0
AUT-2002,19.2,12.1,28.0,29.9,84.0,269.7,51.6,28.2,2.0,1661.0
AUT-2003,18.0,12.3,25.0,29.9,84.0,281.2,49.9,25.9,2.0,1652.0
AUT-2004,17.3,12.1,23.7,24.8,81.2,312.4,50.1,20.4,2.0,1655.0
AUT-2005,16.8,12.2,23.1,24.6,83.0,311.0,51.2,20.4,2.0,1632.0
AUT-2006,15.2,12.5,19.9,25.4,84.0,319.5,50.2,25.5,2.0,1617.0
AUT-2007,15.1,12.5,20.1,25.1,85.3,333.7,48.5,20.4,2.0,1606.0
AUT-2008,14.6,12.0,19.1,26.2,85.3,343.8,47.0,24.5,2.1,1599.0
AUT-2009,14.6,11.8,18.4,29.9,85.1,348.6,45.8,20.4,2.2,1558.0
AUT-2010,14.4,12.1,17.6,27.7,84.9,369.2,44.8,23.8,2.2,1552.0
AUT-2011,14.6,11.9,17.6,28.0,85.4,377.0,43.4,20.4,2.2,1557.0
AUT-2012,14.2,12.1,17.1,28.7,86.0,396.6,42.8,20.4,2.2,1535.0
AUT-2013,14.2,11.9,17.0,29.7,85.7,422.6,41.4,22.4,2.2,1520.0
AUT-2014,14.3,12.2,16.1,29.9,85.3,430.4,40.6,20.4,2.2,1510.0
AUT-2015,13.4,11.2,15.4,30.6,85.4,437.0,41.2,18.7,2.2,1495.0
AUT-2016,12.7,11.4,15.5,31.4,86.2,460.5,34.3,20.4,2.2,1507.0
AUT-2017,12.8,11.3,15.0,32.4,86.4,469.9,34.3,17.3,2.2,1498.0
AUT-2018,12.5,11.3,14.7,32.7,86.3,475.3,34.3,20.4,26.9,1502.0
AUT-2019,11.4,11.6,14.4,33.8,86.5,476.3,51.1,18.2,26.9,1508.6
AUT-2020,10.8,11.3,14.3,34.2,86.0,470.5,34.3,17.5,3.7,1400.7
BEL-1990,19.8,12.2,14.7,24.8,84.0,212.2,46.5,16.2,1.6,1662.9
BEL-1991,18.6,11.4,56.8,19.6,85.1,212.2,33.9,16.3,1.5,1625.8
BEL-1992,19.2,11.7,54.7,20.2,84.9,212.2,41.5,15.7,1.9,1602.7
BEL-1993,21.8,11.7,41.5,32.4,84.0,212.2,39.2,16.1,2.3,1558.6
BEL-1994,21.5,11.1,50.6,22.3,83.7,212.2,33.9,14.9,2.3,1558.6
BEL-1995,21.6,11.0,46.5,24.6,83.7,137.5,41.5,14.0,2.1,1578.0
BEL-1996,20.0,10.9,33.9,25.4,85.3,136.5,40.5,13.1,2.0,1575.0
BEL-1997,21.4,10.9,41.5,32.4,85.4,157.8,39.2,12.5,1.9,1582.0
BEL-1998,20.0,9.9,39.2,28.9,86.2,167.1,38.0,12.0,1.9,1574.0
BEL-1999,18.2,10.1,33.9,32.4,86.4,179.6,35.7,11.3,1.8,1575.0
BEL-2000,20.9,11.2,41.5,32.4,86.3,203.7,33.9,10.3,1.7,1589.0
BEL-2001,21.0,11.0,40.5,27.6,84.5,206.0,33.1,24.1,1.9,1581.0
BEL-2002,20.0,11.3,39.2,28.1,83.7,240.4,32.0,20.4,2.0,1594.0
BEL-2003,20.1,11.3,38.0,29.0,83.6,259.3,30.4,16.2,2.5,1598.0
BEL-2004,18.8,12.1,35.7,30.4,83.9,265.8,29.4,16.3,2.5,1588.0
BEL-2005,19.1,12.2,33.9,31.0,84.2,269.4,29.5,15.7,2.4,1578.0
BEL-2006,18.1,10.9,33.1,31.8,83.6,279.4,28.7,16.1,2.4,1592.0
BEL-2007,17.1,10.3,32.0,32.1,84.9,293.5,28.4,14.9,2.1,1594.0
BEL-2008,18.3,10.5,30.4,32.3,84.7,294.9,27.2,14.0,2.1,1582.0
BEL-2009,18.3,10.1,29.4,33.4,84.2,301.4,26.4,13.1,2.2,1563.0
BEL-2010,18.2,10.3,29.5,35.0,84.0,317.7,25.3,12.5,1.9,1574.0
BEL-2011,18.6,10.1,28.7,34.6,84.2,330.2,34.3,12.0,2.0,1590.0
BEL-2012,17.9,10.1,28.4,35.3,84.6,338.0,34.3,11.3,2.0,1587.0
BEL-2013,16.6,10.3,27.2,35.5,84.1,360.0,48.1,18.9,1.9,1586.0
BEL-2014,16.5,10.6,26.4,36.9,84.7,369.1,51.0,15.7,1.8,1582.0
BEL-2015,16.2,10.4,25.3,36.9,84.6,381.7,34.3,16.1,1.9,1575.0
BEL-2016,16.3,9.4,24.9,37.5,85.2,388.9,34.3,14.9,1.9,1574.0
BEL-2017,14.8,9.3,23.2,40.3,85.2,397.1,34.3,14.0,1.9,1578.0
BEL-2018,15.2,9.2,21.8,40.6,86.1,410.9,55.4,13.1,28.8,1580.0
BGR-1990,17.2,6.8,39.2,28.9,84.0,196.9,34.3,20.4,3.7,1761.3
BGR-1991,17.7,9.4,33.9,28.9,84.7,202.7,61.8,12.4,2.0,1761.3
BGR-1992,20.2,7.8,41.5,37.5,84.2,206.9,59.4,11.5,1.9,1761.3
BGR-1993,18.9,7.9,40.5,40.3,84.0,221.8,45.8,11.2,1.9,1761.3
BGR-1994,19.0,9.8,39.2,40.6,84.2,229.0,52.3,11.2,1.8,1761.3
BGR-1995,18.4,8.4,38.0,28.9,84.6,240.6,51.2,12.3,1.7,1710.7
BGR-1996,19.9,8.6,35.7,28.9,84.1,256.1,49.8,14.3,1.9,1708.2
BGR-1997,19.0,7.9,33.9,28.9,84.7,276.0,54.2,16.8,2.0,1706.9
BGR-1998,20.2,9.2,33.1,24.8,84.6,293.7,51.3,20.4,2.5,1650.0
BGR-1999,17.0,9.9,32.0,19.6,85.2,302.8,52.8,13.4,2.5,1669.5
BGR-2000,18.0,10.1,30.4,20.2,85.2,324.4,51.6,12.1,2.4,1640.3
BGR-2001,16.9,11.2,29.4,32.4,84.0,341.7,49.9,11.3,2.4,1651.9
BGR-2002,17.1,10.6,28.8,22.3,85.1,366.4,50.1,10.8,2.1,1651.3
BGR-2003,14.3,11.2,31.2,24.6,84.9,387.1,51.2,10.4,2.1,1640.5
BGR-2004,13.0,11.0,33.0,25.4,84.0,102.3,50.2,10.2,2.2,1663.7
BGR-2005,12.6,10.5,29.0,32.4,83.7,109.3,48.5,10.1,1.9,1658.6
BGR-2006,12.5,10.4,28.0,28.9,83.7,121.9,47.0,9.3,2.0,1654.1
BGR-2007,11.4,10.9,25.0,32.4,85.3,129.7,45.8,9.8,2.7,1654.5
BGR-2008,11.9,11.0,23.7,32.4,85.4,142.9,44.8,28.2,2.7,1693.6
BGR-2009,11.0,11.0,23.1,27.6,86.2,152.8,43.4,25.9,2.7,1646.3
BGR-2010,10.9,9.8,19.9,28.1,86.4,169.4,42.8,20.4,2.7,1644.8
BGR-2011,9.8,9.9,20.1,29.0,86.3,189.4,41.4,20.4,2.5,1643.6
BGR-2012,11.1,10.9,19.1,30.4,84.5,222.7,40.6,25.5,2.6,1644.4
BGR-2013,9.2,10.3,18.4,31.0,83.7,193.9,41.2,20.4,2.9,1645.0
BGR-2014,9.2,10.3,17.6,31.8,83.6,209.8,34.3,24.5,3.2,1644.1
BGR-2015,8.7,10.9,17.6,32.1,83.9,225.8,34.3,20.4,3.0,1644.4
BGR-2016,8.6,11.1,17.1,32.3,84.2,253.8,49.8,23.8,3.1,1643.5
BGR-2017,8.9,10.9,17.0,33.4,83.6,261.9,54.2,20.4,3.2,1643.3
BGR-2018,8.3,11.5,16.1,35.0,86.0,255.6,51.3,20.4,4.1,1644.6
BGR-2019,7.4,11.2,38.0,34.6,85.6,250.0,52.8,22.4,3.7,1645.2
BRA-1990,4.8,5.3,35.7,35.3,84.0,32.0,51.6,20.4,3.7,1761.3
BRA-1991,5.1,5.5,33.9,35.5,85.3,31.3,49.9,18.7,3.7,1761.3
BRA-1992,4.9,5.3,33.1,9.6,85.7,30.9,50.1,20.4,3.7,1761.3
BRA-1993,4.9,4.9,32.0,10.8,85.1,31.0,51.2,17.3,3.7,1761.3
BRA-1994,5.1,5.2,30.4,10.9,85.0,31.5,50.2,20.4,1.2,1761.3
BRA-1995,5.5,5.9,29.4,28.9,83.4,30.9,48.5,18.2,1.3,1854.0
BRA-1996,5.6,6.0,28.8,11.6,84.0,31.1,47.0,17.5,1.3,1845.6
BRA-1997,5.5,5.9,31.2,13.0,82.6,30.4,41.5,16.2,1.3,1855.7
BRA-1998,5.5,5.7,33.0,13.7,83.2,30.3,39.2,16.3,1.5,1874.2
BRA-1999,4.9,5.9,29.0,14.3,84.0,29.7,33.9,15.7,2.7,1870.3
BRA-2000,5.1,7.3,28.0,14.8,84.4,238.0,41.5,16.1,2.8,1861.5
BRA-2001,5.5,7.2,25.0,16.9,82.6,32.0,40.5,14.9,2.7,1860.8
BRA-2002,5.3,7.0,23.7,17.1,83.2,31.3,39.2,14.0,2.7,1849.9
BRA-2003,5.2,6.8,23.1,18.4,84.0,30.9,38.0,13.1,2.7,1856.1
BRA-2004,5.3,6.7,30.8,18.7,84.4,31.0,35.7,12.5,2.7,1852.2
BRA-2005,5.6,6.8,48.5,28.9,83.3,31.5,33.9,12.0,2.5,1828.7
BRA-2006,5.4,6.9,58.9,28.9,82.4,30.9,33.1,11.3,2.6,1818.0
BRA-2007,5.5,6.9,63.2,9.6,82.1,31.1,32.0,10.3,2.9,1806.5
BRA-2008,5.6,6.8,61.2,10.8,81.5,30.4,30.4,24.1,3.2,1811.4
BRA-2009,5.6,7.0,59.3,10.9,82.1,30.3,29.4,14.3,3.0,1802.4
BRA-2010,5.6,7.2,29.8,28.9,84.0,29.7,29.5,14.1,3.1,1803.1
BRA-2011,5.7,7.1,56.7,11.6,85.3,238.0,28.7,13.4,3.2,1799.1
BRA-2012,5.9,7.1,55.0,13.0,85.7,251.1,28.4,12.1,4.1,1766.7
BRA-2013,5.9,6.9,53.6,13.7,85.1,259.9,27.2,11.3,4.3,1777.6
BRA-2014,5.8,6.9,52.6,14.3,85.0,276.3,26.4,10.8,4.3,1773.9
BRA-2015,6.1,6.6,51.1,14.8,83.4,263.6,25.3,10.4,4.4,1770.8
BRA-2016,6.1,6.4,48.8,16.9,84.0,265.8,34.3,10.2,4.6,1766.0
BRA-2017,6.5,6.3,48.0,17.1,82.6,276.0,29.5,10.1,4.8,1755.1
BRA-2018,6.5,6.2,46.3,18.4,83.2,287.8,28.7,9.3,5.1,1751.3
BRA-2019,6.7,6.1,45.1,18.7,84.0,300.2,28.4,9.8,4.9,1761.3
CAN-1990,12.9,8.5,31.0,28.0,84.4,155.1,34.3,28.2,5.0,1797.0
CAN-1991,13.4,8.2,30.0,28.3,83.3,164.0,34.3,25.9,5.2,1775.0
CAN-1992,13.3,7.8,28.7,29.0,82.4,175.0,34.3,20.4,5.4,1772.0
CAN-1993,13.4,7.5,26.7,30.4,82.1,187.7,34.3,20.4,5.3,1769.0
CAN-1994,13.1,7.4,26.2,33.5,81.5,196.9,48.6,25.5,5.4,1778.0
CAN-1995,13.5,7.4,24.9,34.5,82.1,202.7,34.3,20.4,5.5,1775.0
CAN-1996,13.4,7.4,23.6,35.6,81.3,206.9,48.0,24.5,5.5,1790.0
CAN-1997,12.4,7.2,22.2,37.4,81.7,221.8,34.3,20.4,5.3,1798.0
CAN-1998,12.3,7.3,21.3,38.3,82.3,229.0,50.6,23.8,5.1,1794.0
CAN-1999,13.3,7.5,20.4,39.4,82.4,240.6,34.3,20.4,4.9,1793.0
CAN-2000,11.6,7.6,19.3,40.1,82.6,256.1,34.3,20.4,5.0,1787.0
CAN-2001,11.8,7.6,18.0,41.9,81.9,276.0,48.2,22.4,5.2,1774.0
CAN-2002,11.6,7.7,17.3,42.9,81.9,293.7,34.3,20.4,5.4,1755.0
CAN-2003,11.8,7.7,16.3,44.1,82.1,302.8,49.4,18.7,5.3,1745.0
CAN-2004,11.2,7.8,15.7,44.5,82.2,324.4,56.8,20.4,5.4,1755.0
CAN-2005,11.3,8.0,14.8,46.0,82.1,341.7,57.7,17.3,5.5,1745.0
CAN-2006,11.0,8.2,14.5,46.9,82.5,366.4,34.3,20.4,5.5,1744.0
CAN-2007,10.7,8.4,13.5,48.2,82.8,387.1,49.1,18.2,5.3,1744.0
CAN-2008,10.9,8.4,13.0,48.7,82.4,399.2,60.0,17.5,4.6,1741.0
CAN-2009,11.2,8.4,12.5,49.3,81.6,403.2,50.0,16.2,5.0,1712.0
CAN-2010,11.3,8.4,11.7,50.3,81.3,427.7,50.6,16.3,5.3,1715.0
CAN-2011,10.9,8.2,11.4,51.0,81.5,430.5,60.4,15.7,5.2,1713.0
CAN-2012,11.0,8.3,11.0,52.3,81.5,437.7,50.9,16.1,5.4,1722.0
CAN-2013,11.2,8.2,10.5,53.0,81.9,442.7,62.0,14.9,5.5,1716.0
CAN-2014,11.7,8.0,10.0,53.6,81.6,455.5,52.5,14.0,5.7,1710.0
CAN-2015,12.0,8.0,9.6,55.2,81.8,464.2,64.2,13.1,6.2,1712.0
CAN-2016,10.7,8.1,9.4,56.3,81.8,521.0,53.1,12.5,6.2,1706.0
CAN-2017,11.1,8.2,8.9,56.7,82.4,530.8,22.9,12.0,7.1,1695.0
CAN-2018,10.1,8.2,8.4,57.9,82.7,544.4,23.6,11.3,7.1,1708.0
CAN-2019,10.5,8.0,8.1,59.4,83.1,534.0,24.2,10.3,3.7,1690.0
CHE-1990,22.4,12.9,29.8,28.9,84.0,212.2,25.4,20.4,3.5,1761.3
CHE-1991,23.2,12.9,19.3,20.3,90.5,212.2,25.4,20.4,3.7,1718.1
CHE-1992,21.2,12.3,19.2,21.0,89.8,212.2,26.9,28.1,4.1,1725.4
CHE-1993,20.8,12.1,29.8,28.9,84.0,212.2,28.1,12.4,4.3,1720.4
CHE-1994,21.9,11.8,17.8,21.4,88.3,212.2,28.8,11.5,4.6,1739.7
CHE-1995,20.7,11.4,17.8,21.1,90.2,404.5,29.9,11.2,7.7,1720.3
CHE-1996,20.7,11.3,29.8,28.9,84.0,417.4,31.3,11.2,8.3,1696.9
CHE-1997,19.2,11.2,16.4,22.2,89.1,426.8,33.7,12.3,8.5,1687.5
CHE-1998,19.6,11.1,16.3,22.9,90.3,440.7,35.0,14.3,8.8,1695.5
CHE-1999,18.3,11.1,16.1,23.6,90.7,450.8,33.9,16.8,9.0,1717.4
CHE-2000,19.2,11.2,16.1,24.2,90.4,479.6,34.0,20.4,9.2,1712.7
CHE-2001,18.6,11.1,15.1,25.4,91.3,496.2,35.3,13.4,9.5,1672.8
CHE-2002,19.7,10.8,15.1,25.4,90.6,520.3,37.4,12.1,9.8,1651.3
CHE-2003,17.2,10.8,15.4,26.9,89.7,514.9,39.2,11.3,10.1,1664.5
CHE-2004,17.2,10.7,15.0,28.1,89.7,540.3,38.0,10.8,10.4,1695.0
CHE-2005,17.2,10.1,14.8,28.8,90.0,519.2,35.7,10.4,10.4,1690.0
CHE-2006,17.1,10.2,14.6,29.9,90.2,543.6,33.9,10.2,10.1,1679.2
CHE-2007,17.5,10.4,14.0,31.3,90.0,589.4,33.1,10.1,9.9,1668.9
CHE-2008,16.7,10.2,13.2,33.7,90.5,609.0,32.0,9.3,9.9,1659.5
CHE-2009,13.8,10.1,13.1,35.0,89.6,619.0,30.4,9.8,10.5,1650.8
CHE-2010,12.3,10.0,15.0,33.9,87.3,618.9,29.4,28.2,10.4,1611.2
CHE-2011,12.5,10.0,15.2,34.0,87.9,629.9,29.5,25.9,10.5,1608.3
CHE-2012,12.4,9.9,14.3,35.3,88.6,640.0,28.7,20.4,10.6,1592.6
CHE-2013,12.6,9.8,13.6,37.4,88.1,664.5,28.4,20.4,10.9,1572.7
CHE-2014,11.9,9.5,12.8,38.4,88.0,708.7,27.2,25.5,11.0,1564.5
CHE-2015,12.3,9.5,12.7,39.8,88.2,740.3,26.4,20.4,11.4,1576.6
CHE-2016,11.5,9.3,12.6,41.2,88.5,796.5,25.3,24.5,11.7,1577.0
CHE-2017,11.6,9.2,12.2,42.6,88.3,793.9,41.8,20.4,11.8,1559.1
CHE-2018,11.1,9.1,11.6,43.7,88.7,804.8,34.3,23.8,11.7,1551.4
CHE-2019,11.1,9.3,11.0,44.4,89.4,781.5,34.3,20.4,3.7,1549.4
CHL-1990,7.2,8.6,15.0,23.6,84.0,450.8,22.9,20.4,0.5,2422.0
CHL-1991,7.3,8.0,14.8,24.2,89.1,479.6,23.6,22.4,0.7,2419.0
CHL-1992,6.0,7.8,14.6,25.4,90.3,496.2,24.2,20.4,0.8,2415.0
CHL-1993,6.9,7.7,14.0,25.4,90.7,520.3,25.4,18.7,0.9,2389.0
CHL-1994,7.1,7.7,13.2,26.9,90.4,514.9,25.4,20.4,1.1,2364.0
CHL-1995,8.1,8.3,13.1,28.1,91.3,540.3,26.9,17.3,1.2,2338.0
CHL-1996,7.6,7.4,15.0,28.8,90.6,519.2,28.1,20.4,1.3,2313.0
CHL-1997,7.4,6.6,15.2,29.9,89.7,543.6,28.8,18.2,1.3,2256.0
CHL-1998,8.3,7.3,14.3,31.3,89.7,589.4,29.9,17.5,1.3,2299.0
CHL-1999,8.3,7.6,13.6,33.7,90.0,609.0,31.3,16.2,1.5,2277.0
CHL-2000,11.3,6.2,24.9,35.0,90.2,619.0,33.7,16.3,2.7,2263.0
CHL-2001,11.9,6.2,23.6,33.9,90.0,618.9,35.0,15.7,2.8,2242.0
CHL-2002,11.6,5.5,22.2,34.0,90.5,629.9,33.9,16.1,2.7,2250.0
CHL-2003,11.9,6.5,21.3,35.3,89.6,640.0,34.0,14.9,2.7,2235.0
CHL-2004,11.9,6.8,20.4,37.4,87.3,664.5,35.3,14.0,2.7,2232.0
CHL-2005,11.4,7.2,19.3,38.4,87.9,708.7,37.4,13.1,2.7,2157.0
CHL-2006,11.9,6.9,18.0,39.8,88.6,163.0,47.4,12.5,2.5,2165.0
CHL-2007,11.9,7.4,17.3,41.2,88.1,175.1,34.3,12.0,2.6,2128.0
CHL-2008,13.2,7.4,16.3,42.6,88.0,179.6,34.3,11.3,2.9,2095.0
CHL-2009,13.4,7.2,15.7,43.7,88.2,193.7,64.5,10.3,3.2,2074.0
CHL-2010,12.3,7.6,14.8,28.9,88.5,185.9,34.3,24.1,3.0,2069.8
CHL-2011,12.5,7.1,14.5,17.8,84.3,197.6,33.9,20.4,3.1,2050.2
CHL-2012,11.2,8.3,18.0,28.9,84.0,212.3,34.0,20.4,3.2,2027.4
