LocationTime,LOCATION,TIME,Value_PRIV_PC_GDP,Value_PUB_PC_GDP,Value_PUB_USD_CAP,Value_PUBNET_PC_GDP,Value_TOTNET_PC_GDP
LVA-2007,LVA,2007,0.125,11.079,2618.374,,
LVA-2008,LVA,2008,0.127,12.993,3002.493,,
LVA-2009,LVA,2009,0.067,18.086,3644.108,,
LVA-2010,LVA,2010,0.161,19.466,3826.981,,
LVA-2011,LVA,2011,0.123,16.579,3529.993,14.752,14.874
LVA-2012,LVA,2012,0.099,15.359,3448.351,,
LVA-2013,LVA,2013,0.082,15.529,3604.679,13.645,13.726
LVA-2014,LVA,2014,0.067,15.354,3661.18,,
LVA-2015,LVA,2015,0.051,15.767,3915.539,13.765,13.814
LVA-2016,LVA,2016,0.05,16.14,4116.504,,
LVA-2017,LVA,2017,0.053,15.907,4250.77,13.627,13.679
LVA-2018,LVA,2018,,15.847,,,
LVA-2019,LVA,2019,,16.436,,,
MEX-1990,MEX,1990,0.052,3.139,422.407,,
MEX-1991,MEX,1991,0.076,3.523,485.46,,
MEX-1992,MEX,1992,0.084,3.85,540.599,,
MEX-1993,MEX,1993,0.083,3.786,541.648,,
MEX-1994,MEX,1994,0.083,4.105,606.665,,
MEX-1995,MEX,1995,0.077,3.68,501.912,,
MEX-1996,MEX,1996,0.082,3.367,483.286,,
MEX-1997,MEX,1997,0.094,3.396,513.682,,
MEX-1998,MEX,1998,0.094,3.809,597.999,,
MEX-1999,MEX,1999,0.097,4.286,682.934,4.286,4.383
MEX-2000,MEX,2000,0.114,4.391,725.601,,
MEX-2001,MEX,2001,0.136,4.992,811.785,5.927,5.891
MEX-2002,MEX,2002,0.15,5.346,858.01,,
MEX-2003,MEX,2003,0.164,6.02,967.979,6.682,6.652
MEX-2004,MEX,2004,0.17,5.954,983.269,,
MEX-2005,MEX,2005,0.185,6.145,1028.21,6.911,6.984
MEX-2006,MEX,2006,0.193,6.26,1081.901,,
MEX-2007,MEX,2007,0.212,6.255,1092.116,7.113,7.17
MEX-2008,MEX,2008,0.313,6.704,1167.824,,
MEX-2009,MEX,2009,0.366,7.262,1181.637,7.28,7.572
MEX-2010,MEX,2010,0.34,7.368,1244.196,,
MEX-2011,MEX,2011,0.339,7.222,1248.947,7.005,7.274
MEX-2012,MEX,2012,0.339,7.235,1281.485,,
MEX-2013,MEX,2013,0.352,7.566,1342.786,7.383,7.661
MEX-2014,MEX,2014,0.376,7.566,1365.332,,
MEX-2015,MEX,2015,0.372,7.676,1415.322,7.396,7.69
MEX-2016,MEX,2016,0.398,7.501,1408.476,,
MEX-2017,MEX,2017,0.398,7.496,1422.897,7.242,7.555
MEX-2018,MEX,2018,0.422,7.237,1389.284,,
MEX-2019,MEX,2019,,7.481,1420.475,,
NLD-1990,NLD,1990,5.628,23.683,8202.494,,
NLD-1991,NLD,1991,5.779,23.634,8317.797,,
NLD-1992,NLD,1992,5.814,24.065,8549.386,,
NLD-1993,NLD,1993,6.071,24.172,8633.96,,
NLD-1994,NLD,1994,6.229,22.841,8350.217,,
NLD-1995,NLD,1995,6.98,22.082,8282.163,17.186,
NLD-1996,NLD,1996,6.887,21.001,8114.736,,
NLD-1997,NLD,1997,6.786,20.319,8148.856,15.831,20.545
NLD-1998,NLD,1998,7.453,20.301,8469.305,,
NLD-1999,NLD,1999,7.504,19.603,8532.655,15.816,21.29
NLD-2000,NLD,2000,7.511,19.002,8556.586,,
NLD-2001,NLD,2001,7.303,19.098,8734.042,16.42,21.815
NLD-2002,NLD,2002,7.8,19.878,9052.416,,
NLD-2003,NLD,2003,8.076,20.555,9331.189,17.436,23.266
NLD-2004,NLD,2004,8.158,20.397,9410.427,,
NLD-2005,NLD,2005,8.201,19.921,9357.383,17.1,23.006
NLD-2006,NLD,2006,11.423,16.434,7973.844,,
NLD-2007,NLD,2007,11.423,15.742,7909.04,13.56,22.908
NLD-2008,NLD,2008,11.61,15.479,7914.292,,
NLD-2009,NLD,2009,12.617,17.072,8366.452,14.612,25.1
NLD-2010,NLD,2010,12.799,17.467,8630.224,,
NLD-2011,NLD,2011,13.062,17.54,8759.799,14.978,25.823
NLD-2012,NLD,2012,13.142,17.926,8827.41,,
NLD-2013,NLD,2013,13.105,18.134,8892.393,14.875,25.824
NLD-2014,NLD,2014,13.073,17.932,8886.12,,
NLD-2015,NLD,2015,13.314,17.598,8852.128,14.587,25.712
NLD-2016,NLD,2016,13.284,17.473,8934.371,,
NLD-2017,NLD,2017,13.464,16.609,8688.169,13.53,24.669
NLD-2018,NLD,2018,,16.221,,,
NLD-2019,NLD,2019,,16.08,,,
NOR-1990,NOR,1990,1.944,21.55,8706.426,,
NOR-1991,NOR,1991,1.898,22.458,9307.073,,
NOR-1992,NOR,1992,1.837,23.346,9964.526,,
NOR-1993,NOR,1993,1.736,23.261,10149.414,,
NOR-1994,NOR,1994,1.681,23.081,10518.819,,
NOR-1995,NOR,1995,1.691,22.474,10613.781,17.787,18.741
NOR-1996,NOR,1996,1.916,21.681,10700.075,,
NOR-1997,NOR,1997,1.842,21.183,10946.893,16.711,17.747
NOR-1998,NOR,1998,2.032,22.634,11933.539,,
NOR-1999,NOR,1999,2.251,22.552,12045.009,17.849,19.126
NOR-2000,NOR,2000,2.04,20.411,11178.17,,
NOR-2001,NOR,2001,2.116,21.234,11810.165,17.07,18.307
NOR-2002,NOR,2002,2.408,22.71,12745.615,,
NOR-2003,NOR,2003,2.557,23.644,13311.668,19.247,20.789
NOR-2004,NOR,2004,2.315,22.283,12966.727,,
NOR-2005,NOR,2005,2.025,20.737,12300.969,16.996,18.199
NOR-2006,NOR,2006,1.966,19.479,11735.347,,
NOR-2007,NOR,2007,1.962,19.603,12039.696,16.054,17.196
NOR-2008,NOR,2008,1.929,19.273,11746.484,,
NOR-2009,NOR,2009,2.334,22.509,13311.27,18.615,20.016
NOR-2010,NOR,2010,2.04,22.099,12998.713,,
NOR-2011,NOR,2011,2.153,21.58,12652.561,18.069,19.421
NOR-2012,NOR,2012,2.088,21.504,12778.501,,
NOR-2013,NOR,2013,2.225,21.969,13031.704,18.395,19.793
NOR-2014,NOR,2014,2.361,22.909,13703.231,,
NOR-2015,NOR,2015,2.535,24.788,14964.391,20.618,22.221
NOR-2016,NOR,2016,2.651,26.027,15740.849,,
NOR-2017,NOR,2017,2.59,25.212,15481.452,20.98,22.623
NOR-2018,NOR,2018,,24.38,,,
NOR-2019,NOR,2019,,25.316,,,
NZL-1990,NZL,1990,0.208,20.442,5076.691,,
NZL-1991,NZL,1991,0.273,20.847,4900.558,,
NZL-1992,NZL,1992,0.366,20.508,4831.884,,
NZL-1993,NZL,1993,0.38,19.042,4722.081,,
NZL-1994,NZL,1994,0.444,18.401,4737.276,,
NZL-1995,NZL,1995,0.464,17.845,4730.733,,
NZL-1996,NZL,1996,0.484,17.784,4798.948,,
NZL-1997,NZL,1997,0.502,18.74,5146.835,15.506,15.936
NZL-1998,NZL,1998,0.504,19.261,5304.922,,
NZL-1999,NZL,1999,0.488,18.628,5367.636,15.724,16.146
NZL-2000,NZL,2000,0.495,18.406,5392.997,,
NZL-2001,NZL,2001,0.5,17.777,5360.838,15.035,15.47
NZL-2002,NZL,2002,0.477,18.249,5678.774,,
NZL-2003,NZL,2003,0.444,17.73,5661.849,15.091,15.468
NZL-2004,NZL,2004,0.495,17.422,5665.974,,
NZL-2005,NZL,2005,0.517,18.009,5984.669,15.61,16.063
NZL-2006,NZL,2006,0.526,18.707,6302.523,,
NZL-2007,NZL,2007,0.512,18.453,6397.918,16.231,16.68
NZL-2008,NZL,2008,0.538,19.843,6709.899,,
NZL-2009,NZL,2009,0.633,20.892,7123.222,18.532,19.063
NZL-2010,NZL,2010,0.659,20.625,7029.782,,
NZL-2011,NZL,2011,0.668,20.241,7038.144,17.964,18.521
NZL-2012,NZL,2012,0.698,20.401,7227.852,,
NZL-2013,NZL,2013,0.709,19.718,7064.177,17.37,17.977
NZL-2014,NZL,2014,0.715,19.748,7212.157,,
NZL-2015,NZL,2015,0.712,19.36,7241.224,16.993,17.605
NZL-2016,NZL,2016,0.721,19.04,7245.844,,
NZL-2017,NZL,2017,0.707,18.555,7216.112,16.301,16.913
NZL-2018,NZL,2018,0.724,19.389,7632.527,,
OECD-1990,OECD,1990,2.246,16.529,4654.016,,
OECD-1991,OECD,1991,2.359,17.355,4888.189,,
OECD-1992,OECD,1992,2.465,18.16,5140.929,,
OECD-1993,OECD,1993,2.564,18.658,5299.582,,
OECD-1994,OECD,1994,2.553,18.447,5392.981,,
OECD-1995,OECD,1995,2.842,18.168,5467.188,,
OECD-1996,OECD,1996,2.954,18.136,5554.455,,
OECD-1997,OECD,1997,3.078,17.844,5651.297,,
OECD-1998,OECD,1998,3.127,17.905,5854.349,,
OECD-1999,OECD,1999,3.062,17.814,6008.394,,
OECD-2000,OECD,2000,2.992,17.513,6085.876,,
OECD-2001,OECD,2001,2.976,17.726,6307.922,,
OECD-2002,OECD,2002,2.963,18.168,6592.674,,
OECD-2003,OECD,2003,2.986,18.531,6852.347,,
OECD-2004,OECD,2004,2.946,18.344,7003.41,,
OECD-2005,OECD,2005,2.921,18.279,7133.071,,
OECD-2006,OECD,2006,3.032,17.95,7195.08,,
OECD-2007,OECD,2007,3.14,17.781,7349.027,,
OECD-2008,OECD,2008,3.161,18.54,7611.67,,
OECD-2009,OECD,2009,3.432,20.756,8079.049,18.745,21.206
OECD-2010,OECD,2010,3.412,20.574,8146.117,,
OECD-2011,OECD,2011,3.474,20.162,8093.219,18.237,20.72
OECD-2012,OECD,2012,3.556,20.308,8147.346,,
OECD-2013,OECD,2013,3.57,20.392,8223.793,18.412,20.998
OECD-2014,OECD,2014,3.662,20.327,8328.192,,
OECD-2015,OECD,2015,3.707,20.234,8475.888,18.199,20.827
OECD-2016,OECD,2016,3.097,20.207,8595.78,,
OECD-2017,OECD,2017,3.151,19.938,8685.953,17.963,20.631
OECD-2018,OECD,2018,,19.809,,,
OECD-2019,OECD,2019,,20.031,,,
POL-1990,POL,1990,,14.209,1552.816,,
POL-1991,POL,1991,,20.508,2079.669,,
POL-1992,POL,1992,,24.068,2497.912,,
POL-1993,POL,1993,,23.562,2533.556,,
POL-1994,POL,1994,,22.487,2543.875,,
POL-1995,POL,1995,,21.832,2640.001,,
POL-1996,POL,1996,,22.022,2823.258,,
POL-1997,POL,1997,,21.512,2935.777,,
POL-1998,POL,1998,,20.812,2971.886,,
POL-1999,POL,1999,,21.153,3162.001,,
POL-2000,POL,2000,,20.217,3161.068,,
POL-2001,POL,2001,,21.749,3443.372,,
POL-2002,POL,2002,0.189,21.854,3532.362,,
POL-2003,POL,2003,0.194,21.993,3685.169,,
POL-2004,POL,2004,0.165,21.248,3744.623,,
POL-2005,POL,2005,0.208,20.896,3813.149,17.014,17.222
POL-2006,POL,2006,0.212,20.625,3999.176,,
POL-2007,POL,2007,0.213,19.525,4053.949,15.799,16.012
POL-2008,POL,2008,0.249,20.211,4374.877,,
POL-2009,POL,2009,0.263,21.304,4696.251,18.116,18.379
POL-2010,POL,2010,0.296,20.746,4734.039,,
POL-2011,POL,2011,0.322,19.556,4685.172,16.26,16.583
POL-2012,POL,2012,0.353,19.78,4814.173,,
POL-2013,POL,2013,0.387,20.476,5057.009,17.012,17.4
POL-2014,POL,2014,0.413,20.176,5150.798,,
POL-2015,POL,2015,0.488,20.23,5366.836,16.495,16.983
POL-2016,POL,2016,0.546,21.217,5805.48,,
POL-2017,POL,2017,0.534,20.8,5972.922,16.714,17.248
POL-2018,POL,2018,,20.601,,,
POL-2019,POL,2019,,21.336,,,
PRT-1990,PRT,1990,0.845,12.225,2742.453,,
PRT-1991,PRT,1991,0.893,13.104,3076.634,,
PRT-1992,PRT,1992,0.904,13.758,3266.745,,
PRT-1993,PRT,1993,1.061,15.12,3512.867,,
PRT-1994,PRT,1994,1.164,15.238,3565.891,,
PRT-1995,PRT,1995,1.114,16.019,3898.024,,
PRT-1996,PRT,1996,1.134,16.597,4164.627,,
PRT-1997,PRT,1997,1.145,16.443,4288.385,,
PRT-1998,PRT,1998,1.351,16.836,4578.676,,
PRT-1999,PRT,1999,1.407,17.243,4845.279,,
PRT-2000,PRT,2000,1.6,18.478,5352.581,,
PRT-2001,PRT,2001,1.702,18.957,5558.801,,
PRT-2002,PRT,2002,1.801,20.294,5963.927,,
PRT-2003,PRT,2003,1.813,21.339,6189.548,19.341,20.957
PRT-2004,PRT,2004,1.943,21.675,6383.872,,
PRT-2005,PRT,2005,1.984,22.303,6608.198,20.235,21.986
PRT-2006,PRT,2006,1.998,22.02,6618.255,,
PRT-2007,PRT,2007,1.927,21.73,6681.627,19.674,21.375
PRT-2008,PRT,2008,1.971,22.161,6826.173,,
PRT-2009,PRT,2009,1.94,24.55,7319.046,22.644,24.381
PRT-2010,PRT,2010,1.859,24.521,7434.031,,
PRT-2011,PRT,2011,1.99,24.402,7282.903,21.952,23.758
PRT-2012,PRT,2012,1.98,24.544,7056.727,,
PRT-2013,PRT,2013,2.001,25.543,7316.18,22.128,23.915
PRT-2014,PRT,2014,2.02,25.076,7278.472,,
PRT-2015,PRT,2015,2.32,24.049,7135.045,21.057,23.101
PRT-2016,PRT,2016,2.304,23.375,7097.541,,
PRT-2017,PRT,2017,2.529,22.662,7139.64,20.014,22.267
PRT-2018,PRT,2018,,22.521,,,
PRT-2019,PRT,2019,,22.606,,,
SVK-1995,SVK,1995,0.607,18.239,2521.234,,
SVK-1996,SVK,1996,0.572,17.859,2627.173,,
SVK-1997,SVK,1997,0.679,17.519,2724.928,,
SVK-1998,SVK,1998,0.948,17.635,2850.852,,
SVK-1999,SVK,1999,1.001,18.114,2922.499,,
SVK-2000,SVK,2000,0.799,17.462,2847.46,,
SVK-2001,SVK,2001,0.803,17.175,2903.171,15.876,16.537
SVK-2002,SVK,2002,0.892,17.321,3060.508,,
SVK-2003,SVK,2003,1.174,16.563,3087.11,15.518,16.417
SVK-2004,SVK,2004,1.343,15.848,3107.913,,
SVK-2005,SVK,2005,1.057,15.334,3203.511,13.832,14.704
SVK-2006,SVK,2006,1.131,15.009,3399.461,,
SVK-2007,SVK,2007,1.186,14.808,3713.501,13.86,14.874
SVK-2008,SVK,2008,1.288,14.889,3935.091,,
SVK-2009,SVK,2009,1.305,17.722,4418.518,16.759,17.885
SVK-2010,SVK,2010,1.348,17.423,4582.228,,
SVK-2011,SVK,2011,1.089,17.137,4663.638,16.02,16.959
SVK-2012,SVK,2012,1.226,17.244,4774.359,,
SVK-2013,SVK,2013,1.075,17.576,4892.75,16.465,17.394
SVK-2014,SVK,2014,0.994,17.654,5044.699,,
SVK-2015,SVK,2015,1.028,17.228,5156.678,16.02,16.89
SVK-2016,SVK,2016,1.013,17.566,5361.014,,
SVK-2017,SVK,2017,1.003,17.453,5481.433,16.207,17.05
SVK-2018,SVK,2018,,17.168,,,
SVK-2019,SVK,2019,,17.67,,,
SVN-1995,SVN,1995,,5.681,1142.886,,
SVN-1996,SVN,1996,0.032,21.925,4549.421,,
SVN-1997,SVN,1997,0.03,22.267,4862.374,,
SVN-1998,SVN,1998,0.028,22.342,5048.721,,
SVN-1999,SVN,1999,0.027,22.316,5308.144,,
SVN-2000,SVN,2000,0.026,22.095,5433.171,,
SVN-2001,SVN,2001,0.025,21.95,5563.835,,
SVN-2002,SVN,2002,0.024,22.32,5846.904,,
SVN-2003,SVN,2003,1.213,21.935,5912.54,,
SVN-2004,SVN,2004,1.167,21.551,6059.257,,
SVN-2005,SVN,2005,1.101,21.524,6270.431,,
SVN-2006,SVN,2006,1.164,21.126,6485.397,,
SVN-2007,SVN,2007,1.135,19.763,6455.005,,
SVN-2008,SVN,2008,1.104,19.88,6710.719,,
SVN-2009,SVN,2009,1.213,22.428,6931.711,19.695,20.782
SVN-2010,SVN,2010,1.194,23.355,7289.83,,
SVN-2011,SVN,2011,1.228,23.441,7365.265,20.113,21.221
SVN-2012,SVN,2012,1.358,23.473,7166.748,,
SVN-2013,SVN,2013,1.413,23.802,7182.696,20.259,21.587
SVN-2014,SVN,2014,1.352,23.094,7154.285,,
SVN-2015,SVN,2015,1.339,22.651,7166.974,19.323,20.57
SVN-2016,SVN,2016,1.299,22.291,7268.346,,
SVN-2017,SVN,2017,1.268,21.497,7344.125,18.452,19.618
SVN-2018,SVN,2018,,21.018,,,
SVN-2019,SVN,2019,,21.112,,,
SWE-1990,SWE,1990,1.14,26.853,8845.594,,
SWE-1991,SWE,1991,1.552,28.66,9269.985,,
SWE-1992,SWE,1992,1.412,32.205,10235.248,,
SWE-1993,SWE,1993,2.907,33.696,10426.914,,
SWE-1994,SWE,1994,2.611,32.517,10383.611,,
SWE-1995,SWE,1995,2.423,30.189,9966.988,23.461,24.994
SWE-1996,SWE,1996,2.352,29.717,9950.366,,
SWE-1997,SWE,1997,2.454,28.472,9820.432,22.305,23.859
SWE-1998,SWE,1998,2.484,28.172,10130.468,,
SWE-1999,SWE,1999,2.497,27.65,10356.895,21.74,23.323
SWE-2000,SWE,2000,2.426,26.464,10368.334,,
SWE-2001,SWE,2001,2.554,26.582,10537.295,21.244,22.845
SWE-2002,SWE,2002,2.683,27.253,11004.869,,
SWE-2003,SWE,2003,2.654,27.962,11508.909,22.031,23.724
SWE-2004,SWE,2004,2.576,27.458,11745.51,,
SWE-2005,SWE,2005,2.706,27.131,11889.679,21.396,23.113
SWE-2006,SWE,2006,2.661,26.456,12066.256,,
SWE-2007,SWE,2007,2.66,25.369,11880.065,20.365,22.064
SWE-2008,SWE,2008,3.038,25.409,11753.552,,
SWE-2009,SWE,2009,3.303,27.249,11955.008,22.143,24.31
SWE-2010,SWE,2010,3.217,25.907,11940.811,,
SWE-2011,SWE,2011,3.516,25.321,11952.946,21.038,23.424
SWE-2012,SWE,2012,3.674,26.33,12265.126,,
SWE-2013,SWE,2013,3.844,27.003,12620.519,22.437,25.074
SWE-2014,SWE,2014,3.784,26.638,12654.804,,
SWE-2015,SWE,2015,3.804,26.173,12855.064,21.917,24.536
SWE-2016,SWE,2016,3.766,26.59,13163.953,,
SWE-2017,SWE,2017,3.77,26.047,13049.199,21.781,24.354
SWE-2018,SWE,2018,,25.79,,,
SWE-2019,SWE,2019,,25.452,,,
TUR-1990,TUR,1990,,3.795,463.685,,
TUR-1991,TUR,1991,,4.057,491.998,,
TUR-1992,TUR,1992,,4.166,526.685,,
TUR-1993,TUR,1993,,3.973,533.969,,
TUR-1994,TUR,1994,,3.64,455.297,,
TUR-1995,TUR,1995,,3.365,444.182,,
TUR-1996,TUR,1996,,4.59,638.52,,
TUR-1997,TUR,1997,,4.845,714.05,,
TUR-1998,TUR,1998,,5.022,752.292,,
TUR-1999,TUR,1999,0.433,5.731,817.564,,
TUR-2000,TUR,2000,0.436,7.549,1132.208,,
TUR-2001,TUR,2001,0.459,8.228,1144.012,,
TUR-2002,TUR,2002,0.495,8.801,1285.873,,
TUR-2003,TUR,2003,0.499,9.76,1488.492,,
TUR-2004,TUR,2004,0.402,10.053,1661.349,,
TUR-2005,TUR,2005,0.399,10.087,1795.259,9.142,9.484
TUR-2006,TUR,2006,0.389,10.358,1950.056,,
TUR-2007,TUR,2007,0.387,10.907,2130.395,9.956,10.29
TUR-2008,TUR,2008,0.427,11.106,2159.876,,
TUR-2009,TUR,2009,0.276,13.022,2379.374,11.96,12.201
TUR-2010,TUR,2010,0.259,12.336,2408.468,,
TUR-2011,TUR,2011,0.233,11.858,2534.728,10.72,10.918
TUR-2012,TUR,2012,0.219,12.004,2654.714,,
TUR-2013,TUR,2013,0.208,11.804,2795.544,10.631,10.807
TUR-2014,TUR,2014,0.203,11.696,2875.029,,
TUR-2015,TUR,2015,0.204,11.572,2977.187,11.084,11.256
TUR-2016,TUR,2016,0.22,12.642,3310.179,,
TUR-2017,TUR,2017,0.207,12.105,3361.713,11.731,11.907
TUR-2018,TUR,2018,0.213,12.201,,,
TUR-2019,TUR,2019,,11.991,,,
USA-1990,USA,1990,7.897,13.197,5159.782,,
USA-1991,USA,1991,8.23,14.166,5488.554,,
USA-1992,USA,1992,8.497,14.847,5825.583,,
USA-1993,USA,1993,8.468,15.114,6025.612,15.496,22.542
USA-1994,USA,1994,8.475,15.06,6150.81,,
USA-1995,USA,1995,8.607,14.94,6210.851,15.491,22.473
USA-1996,USA,1996,8.914,14.748,6272.66,,
USA-1997,USA,1997,8.981,14.333,6281.912,14.855,22.204
USA-1998,USA,1998,8.892,14.381,6508.019,,
USA-1999,USA,1999,9.076,14.116,6611.523,14.567,22.034
USA-2000,USA,2000,9.222,14.119,6820.476,,
USA-2001,USA,2001,9.418,14.689,7146.109,15.739,23.335
USA-2002,USA,2002,9.815,15.529,7599.02,,
USA-2003,USA,2003,10.035,15.8,7858.194,17.019,25.21
USA-2004,USA,2004,10.077,15.665,7997.146,,
USA-2005,USA,2005,10.074,15.494,8118.163,16.693,24.896
USA-2006,USA,2006,10.312,15.543,8309.881,,
USA-2007,USA,2007,10.636,15.691,8484.736,16.785,25.384
USA-2008,USA,2008,10.488,16.3,8761.727,,
USA-2009,USA,2009,10.486,18.358,9590.195,19.547,28.105
USA-2010,USA,2010,11.224,19.095,10018.103,,
USA-2011,USA,2011,11.292,18.801,9966.236,20.076,29.256
USA-2012,USA,2012,11.612,18.533,9957.415,,
USA-2013,USA,2013,11.736,18.484,10053.486,20.346,29.027
USA-2014,USA,2014,11.903,18.47,10209.755,,
USA-2015,USA,2015,12.123,18.539,10467.368,20.424,29.446
USA-2016,USA,2016,12.18,18.646,10657.46,,
USA-2017,USA,2017,12.482,18.439,10699.625,20.269,29.643
USA-2018,USA,2018,12.595,18.19,10785.328,,
USA-2019,USA,2019,,18.71,,,
